Initial_Fe,Initial_Co,Initial_Se,Initial_Mn,Initial_Ni,Initial_H,Initial_O,Initial_Cu,Substrate,Shape of Electrocatalyst,Deposition Method,Specific Loading,Overpotential,Capacitance,Tafel Slope,Post_Fe,Post_Co,Post_Se,Post_Mn,Post_Ni,Post_H,Post_O,Post_Cu,Type of Electrocatalyst,Initial Electrocatalyst
0.0,1.0,1.0,0.0,1.0,0.9999999999999999,0,0.0,1.0,0.0,2.0,1.5,250.0,5.870000000000001,55.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,B-CoSe2@CoNi LDH HNA
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,6.0,2.0,0.18000000000000016,350.0,2.2300000000000004,89.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni3Se4/UCL-3
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,6.0,1.0,0.4500000000000002,200.0,11.6,58.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni0.2Fe0.8Se–Se
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,7.0,1.0,0.56,257.0,17.4,43.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,Ni0.8Fe0.2Se2
1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,1.0,2.0,0.28000000000000025,242.0,10.35,41.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0,0,Ni-MOF-Fe-Se-400 (Ni3Se4/NiSe2)
1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.5,270.0,0.870000000000001,36.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,Fe0.4Co0.6Se2
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,2.0,2.0,0.796,231.0,325.0,57.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,"Co0.85Se1−x@C
 (x = 0.49)"
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,2.0,0.2999999999999998,256.0,18.3,50.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiSe2/FeSe2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,8.0,1.0,2.0,0.5,281.0,0.41000000000000014,41.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiFe-Se (NiSe2/Fe2NiSe4)
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,2.0,0.4500000000000002,240.0,4.259999999999998,48.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,"(Ni, Fe)Se2"
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,1.0,2.0,8.5,286.0,38.6,53.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,NiSe2/CoSe2-N
0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,7.0,6.0,2.0,5.0,297.0,1.4499999999999993,89.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1,0,CuSe
0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,7.0,0.0,1.0,4.25,243.0,10.96,128.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,NiSe@NiOx
0.0,0.0,1.0,0.0,1.0,0.9999999999999999,1,0.0,1.0,0.0,1.0,1.5,190.0,5.870000000000001,53.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,NiSe2-Ni(OH)2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,8.0,1.0,1.2,225.0,1.8999999999999986,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Fe-Ni3Se2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,3.0,1.0,1.2,199.0,6.110000000000001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NiFe10Se10
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,2.0,8.407409999999999,500.0,2.2300000000000004,120.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,Ni0.85Se
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,2.0,2.4,370.0,2.5599999999999987,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,Ni3Se4
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,2.0,0.18000000000000016,400.0,2.2300000000000004,90.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiSe2
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,2.0,0.28000000000000025,284.0,325.0,46.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,CoSe2 UNMVAC
1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1.0,3.0,1.0,0.55,270.0,43.7,63.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiFeSe@NiSe|O
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,14.0,9.0,1.0,5.0,193.0,3.6000000000000014,58.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0,0,Ni0.35Co0.65Se2/CNW
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,3.0,1.0,0.673,228.0,6.110000000000001,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,(Ni0.77Fe0.23)Se2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,8.0,9.0,1.0,3.2,230.0,0.5620000000000012,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni1−xFexSe2
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,8.0,9.0,1.0,2.4,264.0,0.5689999999999991,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni1−xCoxSe2
0.0,0.0,1.0,0.0,1.0,0.0,0,1.0,8.0,9.0,1.0,2.0,334.0,0.7049999999999983,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni1−xCuxSe2
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,2.0,2.0,0.2400000000000002,250.0,15.6,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Co1Ni0.5Se NBs
1.0,1.0,1.0,0.0,1.0,0.9999999999999999,0,0.0,7.0,0.0,1.0,1.5,201.0,15.7,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CoSe @ NiFe-LDH/NF
0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,4.0,0.0,1.0,10.5,200.0,17.09,150.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,0,Cu2Se
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,3.0,2.0,1.5,291.0,2.5,82.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,Co7Se8/MXene
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,1.0,8.0,2.0,0.2400000000000002,270.0,0.03859999999999886,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CoNiSe/NC-3
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,3.0,2.0,0.20500000000000007,354.0,15.6,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Co0.85Se-hyd
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,8.0,2.0,0.20000000000000018,231.0,5.940000000000001,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,5% Fe-NiSe2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,0.3500000000000001,250.0,1.0700000000000003,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Fe0.125Ni0.875Se2
0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,0.0,2.0,2.0,0.51,280.0,0.7049999999999983,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Cu-14-Co3Se4/GC
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,15.0,1.0,1.0,3.8,258.0,53.8,73.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,"EG/(Co, Ni)Se2-NC"
0.0,1.0,1.0,0.0,0.0,0.0,0,1.0,7.0,9.0,1.0,0.28000000000000025,238.0,4.949999999999999,62.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,CuCoSe-12h
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,3.0,2.0,0.18000000000000016,311.0,2.5599999999999987,44.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,p-NiSe/NGr
0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,7.0,6.0,2.0,0.8999999999999999,243.0,57.0,62.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,0,Mn-Co-Se
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,1.0,2.0,0.41999999999999993,216.0,1.0700000000000003,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni-Fe-Se1:1-180
1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,0.0,0.0,2.0,0.3500000000000001,246.0,1.0700000000000003,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Fe2O3@Ni3Se4  (INi:Fe = 1:10)
1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,7.0,1.0,2.0,2.9,246.0,2.1000000000000014,41.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,Co0.75Fe0.25-Se
0.0,1.0,1.0,1.0,0.0,0.0,0,0.0,16.0,3.0,2.0,0.20000000000000018,274.0,50.5,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Co4Mn1Se2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,1.0,2.0,0.4500000000000002,220.0,7.6,43.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,Fe-NiSe-3
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,7.0,0.0,1.0,0.6000000000000001,232.0,91.34,79.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0,0,Co0.85Se/NF
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,3.0,2.0,0.673,250.0,5.940000000000001,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,"(Ni, Fe)3Se4"
1.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,3.0,2.0,0.14000000000000012,475.0,0.05000000000000071,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,FeSe2/rGO
1.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,3.0,2.0,0.14000000000000012,260.0,1.1499999999999986,36.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,FeSe2@ CoSe2/rGO-2
0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,0.0,3.0,2.0,0.14000000000000012,370.0,0.75,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CoSe2/rGO
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,17.0,2.0,2.0,0.20500000000000007,425.0,1.0899999999999999,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CoSe
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,17.0,2.0,2.0,1.6799999999999997,397.0,16.0,76.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,Ni0.3Co0.74Se
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,17.0,2.0,2.0,0.20500000000000007,358.0,1.0899999999999999,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni0.25Co0.65S0.4Se0.6
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,4.0,6.0,1.0,8.407409999999999,215.0,0.5689999999999991,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,NiCoSe2−x/NC
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,4.0,1.0,1.0,8.407409999999999,443.0,35.9,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Ni3Se4
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,4.0,1.0,1.0,8.407409999999999,338.0,15.6,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CoSe
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,10.0,5.0,1.0,1.6799999999999997,300.0,35.9,98.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,NiSe-NiSe0.85/CP
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,1.0,3.8,170.0,91.34,107.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,CoSe2
1.0,1.0,1.0,0.0,1.0,0.0,0,0.0,18.0,3.0,1.0,8.5,251.0,4.289999999999999,63.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0,0,Fe0.09Co0.13-NiSe2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,3.0,1.0,0.56,197.0,17.4,56.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,Ni0.76Fe0.24Se
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,7.0,3.0,1.0,8.5,183.0,4.32,97.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,NiCoSe2/NF
0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,8.0,9.0,1.0,2.4,266.0,83.78,53.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,NiSe2 UNWs/NiOx (NSWANs)
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,9.0,1.0,21.500000000000004,271.0,40.4,80.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,NiSe/NF
0.0,0.0,0.0,0.0,1.0,0.0,0,0.0,7.0,9.0,1.0,19.3,222.0,80.8,60.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,Ni3S2/NF
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,2.0,2.0,0.4500000000000002,235.0,0.3200000000000003,35.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,Ni0.5Fe0.5Se2
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,5.0,1.0,2.1,217.0,3.1000000000000014,41.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0,Ni0.4Fe0.6Se2
0.0,1.0,1.0,0.0,1.0,0.9999999999999999,0,0.0,7.0,3.0,2.0,1.5,245.0,54.4,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,Ni0.67Co0.33Se2/C-HRD (Carbon Hollow Rhombic Dodecahedra)
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,0.0,5.0,2.0,0.28500000000000014,295.0,0.0007650000000012369,53.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0,NiCo2Se4
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,7.0,2.0,2.0,0.28500000000000014,250.0,16.0,70.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0,"(Ni,Co)Se2-GA (Graphene Aerogel)"
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,9.0,1.0,21.500000000000004,233.0,0.9899999999999984,48.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,Fe-NiSe/NF
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,0.0,2.0,0.4500000000000002,227.0,0.3200000000000003,38.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,Ni1.12Fe0.49Se2
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,2.0,1.0,2.4,243.0,0.18799999999999883,30.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,Ni3Se4/NF
1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,20.0,2.0,2.0,0.673,330.0,1.0899999999999999,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,FeSe2
1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,7.0,8.0,1.0,2.6,226.0,7.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,FeSe2/NF
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,7.0,2.0,1.0,8.5,274.0,18.9,61.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0,0,NiCoSe2/NF
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,3.0,2.0,1.0,0.1299999999999999,140.0,0.18799999999999883,49.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,0,NiSe2
1.0,0.0,1.0,0.0,1.0,0.0,1,0.0,8.0,1.0,1.0,0.55,170.0,0.33200000000000074,62.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0,0,FeNi2Se4-NrGO (nitrogen doped reduced graphene oxide)
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,2.0,1.0,0.18000000000000016,253.0,2.5599999999999987,54.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,NiSe
1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,7.0,2.0,1.0,0.56,195.0,3.3000000000000007,28.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,NixFe1-xSe2
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,6.0,2.0,0.28000000000000025,295.0,6.103999999999997,40.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,CoSe
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,18.0,7.0,1.0,5.0,255.0,22.99,79.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0,"(Ni, Co)0.85Se"
0.0,1.0,1.0,0.0,0.0,0.0,1,0.0,18.0,3.0,1.0,3.8,324.0,121.0,63.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0,0,"CoSe2
 (ECT-Se-CoO)"
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,13.0,1.0,1.0,3.8,292.0,53.8,69.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0,0,(Amorphous CoSe) α-CoSe/Ti
1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.25,200.0,0.06400000000000006,35.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,Fe@Co/Se2
0.0,0.0,1.0,1.0,0.0,0.0,0,0.0,1.0,1.0,2.0,0.2829999999999995,290.0,0.4192,55.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0,1,MnSe@MWCNT
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.9999999999999996,0.0,1.0,0.2829999999999995,260.0,0.2729999999999997,83.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0,1,NiSe2@CNT
0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,3.0,2.0,2.0,0.81,290.0,0.10119999999999862,84.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0,1,Ni3Se2
0.0,1.0,1.0,0.0,1.0,0.0,0,1.0,3.0,3.0,1.0,0.8,272.0,0.14720000000000155,53.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1,1,(Co0.21Ni0.25Cu0.54)3Se2 /Ni16Cu33.9Co13.1Se37
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,4.0,2.0,0.2999999999999998,306.0,53.8,46.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,1,"ZIF-900-3
 (CoSe2@C-CNT)"
1.0,1.0,1.0,0.0,0.0,0.0,0,1.0,3.0,3.0,1.0,0.8,256.0,0.14720000000000155,41.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,(Co0.38Fe0.48Cu0.14)Se
1.0,0.0,1.0,0.0,1.0,0.9999999999999999,0,0.0,4.0,3.0,1.0,0.81,223.0,6.1,56.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0,1,Ni3Se4@NiFe LDH
0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,5.0,3.0,1.0,0.8,320.0,0.14720000000000155,48.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,Cu2Se (ED-1)
0.0,0.0,1.0,0.0,0.0,0.0,0,1.0,5.0,3.0,1.0,2.0,300.0,0.14720000000000155,91.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1,Cu2Se (CVD)
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,3.0,2.0,0.19600000000000017,270.0,28.1,64.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,(9:1)CoSe2/DG - composite
0.0,1.0,1.0,0.0,1.0,0.0,0,0.0,8.0,5.0,1.0,4.7,160.0,0.4319999999999986,72.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0,1,CoNi2Se4
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,5.0,1.0,0.19600000000000017,310.0,0.04400000000000048,36.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,Co7Se8/GC/Deposition 1 min
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,5.0,1.0,0.19600000000000017,290.0,0.05999999999999872,33.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,Co7Se8/GC/Deposition 2.5 min
0.0,1.0,1.0,0.0,0.0,0.0,0,0.0,0.0,5.0,1.0,0.19600000000000017,290.0,0.06400000000000006,34.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,1,Co7Se8/GC/Deposition 5 min
